SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Caloplaca insignis,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,2004,,2004,"The lichens of Hurd Peninsula Livingston Island South Shetland Islands Antarctica. / Søchting Ulrik, Øvstedal D.O., Sancho L.G. I: Bibliotheca Lichenologica Nr. 88 2004 s. 607-658.",Unclassified,Endemic,Unclassified,0,0,1,1,0
Caloplaca johnstonii,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1995,,1995,"The lichens of Hurd Peninsula Livingston Island South Shetland Islands Antarctica. / Søchting Ulrik, Øvstedal D.O., Sancho L.G. I: Bibliotheca Lichenologica Nr. 88 2004 s. 607-658.",Unclassified,Cosmopolitan,Symbiont,0,0,1,1,0
Caloplaca lewis-smithii,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1998,1996,1998,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Caloplaca nigrescens,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1967,,1967,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Endemic,Symbiont,0,0,0,0,0
Caloplaca psoromatis,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1993,2003,1993,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Caloplaca schofieldii,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1968,1967,1968,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Caloplaca scolecomarginata,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,2000,,2000,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,UncertainGlobally,Symbiont,0,0,0,0,0
Caloplaca siphonospora,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1993,,1993,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,1,1,0
Caloplaca tenuis,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1986,1989,1989,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,0,0,1,0
Calvitimela uniseptata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Tephromelataceae,Calvitimela,2011,,2011,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,UncertainGlobally,Symbiont,0,0,0,0,0
Camarosporium palliatum,Fungi,Ascomycota,Dothidemycetes,Botryosphaeriales,incerta,Camarosporium,1979,,1979,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainGlobally,Non-lichenized,0,0,0,0,0
Candelaria murrayi,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Candelariaceae,Candelaria,1974,2005,2005,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,0
